name,fmt,title,abstract,authors
Fabian Bachinger,talk,Forward Programming to produce Hepatocytes for Cell based Therapy,"Background and Aims: Organ transplantation remains the only treatment for end stage liver diseases. Alternative therapies like hepatocyte cell transplantation have been developed in the recent years. However, availability and quality of primary hepatocytes represents a major limitation. Human induced pluripotent stem cells (hiPSCs) could provide an alternative source for the production of large quantity of hepatocytes in vitro. However current differentiation protocols are lengthy, complex, technically challenging and produce cells with foetal-like characteristics. The goal of this project is to create a rapid and robust approach to create high quality and large quantity of hepatocytes organoid with increased functional characteristics when compared to cells derived using directed differentiation in 2D.  Method: Here, we take advantage of Forward Programming (FoP), an approach relying on the overexpression of cell specific transcription factors, to generate hepatocytes for cell-based therapy. Factors to drive differentiation of hiPSCs to hepatocytes were identified by comparing primary cells with in vitro generate hepatocytes. The Opti-OX system was then used in hiPSCs to stably overexpress these transcription factors. Forward programming was further increased by optimising 3D culture conditions in suspension such as seeding density and media composition. Functionality was evaluated by direct comparison with directed differentiation derived and primary hepatocytes. Assays include CYP3A4 enzyme activity, qPCR, Immunofluorescence staining and flow cytometry for hepatocyte specific markers.  Results: Hepatocytes generated using FoP (FoP-Heps) display CYP3A4 activity 10-fold higher than cells generated using directed differentiation. Thus, Fop-Heps have detoxification property close to primary cells. Alb secretion and Urea cycle activity were also very similar between in vitro produced and freshly plated hepatocytes. qPCR analyses confirm expression of hepatocyte markers including Albumin, A1AT, PCK1, HNF4A and hFVII at values comparable to primary hepatocytes. Flow cytometry showed expression near homogenous expression of Albumin (90%), A1AT (99.8%) and ASGR1 (85%). Finally, FoP is a 2-step process taking 20 days compared to 30 days for directed differentiation while allowing the production of 10 hepatocytes from 1 hIPSC.  Conclusion: Forward Programming in 3D can be used to produce hepatocytes more rapidly and robustly than directed differentiation. In addition, FoP-Heps share key characteristics with their primary counterpart. Finally, this approach is compatible with GMP and large-scale production necessary for future cell-based therapies in the context of liver diseases. ","Fabian Bachinger, Rute Tomaz, Ludovic Vallier"
Francesca Rossi,poster,"PHF13, a novel regulator of higher chromatin order?","During interphase in the cell cycle, dramatic spatial reorganization of chromatin gives rise to mitotic chromosomes. Both interphase chromatin and mitotic chromosomes have been extensively characterised, however, the complete list of factors promoting transition between these states remains to be identified. Here we present PHF13, a reader of the H3K4me epigenetic mark, as a novel regulator of higher chromatin order driving compaction of chromatin into chromosomes. We find that the mechanistic basis of chromatin compaction depends on the formation of PHF13 oligomers on chromatin. Moreover, we indentify a novel interaction between PHF13 and the cohesin complex and find that this increases the stability of cohesin on chromatin. These in vivo observations were recapitulated by molecular dynamic simulations modelling the cooperation of PHF13 with cohesin which drives chromatin compaction. ","Francesca Rossi, Rene Buschow, Laura V. Glaser, Tobias Schubert, Hannah Staege, Astrid Grimme,  MK Lee,  Thorsten Mielke, Hans Will, Martin Vingron, Andrea M. Chiariello and Sarah Kinkley"
Franz-Josef Müller ,,,,
Freya Jungen,poster,Dissecting the mechanisms of memory at the Xist locus,,"Eleni Kanata, Daniela Cecalev, Freya Jungen, Veronika Dimitrova, Till Schwämmle, Rutger A.F. Gjaltema, Edda G. Schulz"
Gabriel Rodrigues Cavalheiro,poster,How do Regulatory Landscapes Integrate the Activity of Multiple Regulatory Elements ?,"Developmental genes are often embedded in regulatory landscapes containing various cis-regulatory modules (CRMs).  Gene expression patterns arise from the integration of CRM autonomous activities through different cooperation modes such as redundant, additive, super-additive and repressive.  Here, we are building synthetic regulatory landscapes (SynLandscapes) carrying various CRM combinations to investigate how CRM intrinsic activities are integrated during mouse embryogenesis.  First, we inserted a landing pad (CTCF-LP) containing flanking CTCF sites at the H11 locus in mouse Embryonic Stem Cells (mESCs).  The CTCF-LP allows strong and specific enhancer-driven reporter activation in embryos, while most of the locus intrinsic regulatory activity is blocked.  We then reconstituted a 55kb genomic region containing various Fgf8 CRMs and a reporter gene (Fgf8-SynLandscape) in a YAC, using yeast homologous recombination.  Preliminary results suggest that the CTCF-LP is suitable for insertion of large cargos in mESCs such as the Fgf8-SynLandscape.  Next, we will use the CTCF-LP to systematically insert Fgf8-SynLandscape variants in which CRMs are added/deleted/shuffled at different positions, and then quantitively measure reporter activities in embryos.  We expect that our results will shed light on how and when CRM activities are integrated within a regulatory landscape to generate expression patterns in vivo.","Gabriel R. Cavalheiro, Amina Sultanova, Brittany Melvin, Andreas Magg, Giulia Cova, Fiona Puntieri, Juliane Glaser, Daniel Ibrahim, Stefan Mundlos"
Gaby Blaess,,,,
Gaojianyong Wang,poster,Telomere-to telomere reference genomes of endangered rhinoceros species,"All rhinoceros species are endangered due to human activities, including poaching, civil war, and encroachment of habitat. Although traditional conservation methods have been proved to be effective to rescue some rhinoceros species, these methods have failed to rescue others. In particular, only two non-reproductive the northern white rhinoceros (NWR: Ceratotherium simum cottoni) females are alive, meaning NWR is the first functional extinct species among all rhinoceros. Scientists are exploring assisted reproductive technologies (ARTs), including artificial gametes produced from induced pluripotent stem cells (iPSCs) and somatic cell nuclear transfer,  together with surrogate mothers of a closed-related rhinoceros species as potential methods to save functionally extinct NWR and other endangered rhinoceros. The development of ARTs requires high-quality reference genomes for both NWR and SWR. We developed an assembly strategy to generate chromosomal-level (2n = 82) reference genomes, whose quality are two of the highest among the existing assembled mammal genomes. The comparison between NWR and SWR genomes reveals the chromosomal differences between these two species. Our currently ongoing work indicates that the recently developed ONT ultralong sequencing in combination with PacBio HiFi sequencing, is suitable for the ad hoc generation of a complete and gap-less telomere-telomere genome assembly for other critically endangered mammals. ","Gaojianyong Wang, Björn Brändl, Franz-Josef Müller"
Geno Villafano,poster,Transcription factor TFIIS links transcription elongation with RNA processing,"Transcription elongation by RNA polymerase II (Pol II) has emerged as a regulatory hub in gene expression. A known regulator of transcription elongation that is conserved from archaea to humans is TFIIS. TFIIS has been ascribed a general role in the release of Pol II from prolonged pauses, known as transcriptional arrests, to enable productive RNA synthesis. In this study, we used a functional multi-omics approach in combination with high-resolution imaging to determine the specific roles of TFIIS in gene expression. ","Yelizaveta Mochalova, Mario Rubio, Geno Villafano, Andreas Mayer"
Georg Pohl,poster,,,
Gianluca Zambanini,poster,,,
Gregor Sommer,,,,
Gunwant Patil ,,,,
Hannah Kim,,,,
Hannah Wieler,,,,
Hasan Ozan Otas,,,,
Heleen Mallie,,,,
Henri Niskanen,talk,"Controlling the dynamics of biomolecular condensates using a micropeptide ""killswitch"""," Biomolecular condensates selectively concentrate regulators of various biological processes. Aberrant condensate formation has been linked to many diseases and is often associated with altered material properties of the condensate components. Although condensates are prevalent in regulating cellular biochemistry, at the moment we are lacking specific genetic or biochemical tools to modulate condensate properties.  Our previous work revealed pathogenic frameshifts that create a novel peptide, which we call “killswitch” (KS), that solidifies nucleoli impairing their functions. In this work we develop KS into a universally applicable tool, that allows selective modulation of material properties of cellular condensates.  First, to understand how KS works, we performed targeted mutagenesis to KS sequence, and using nucleolus as a model system, we explored which sequence features of KS peptide are required for its function. We uncovered that capacity of KS to alter the material state of nucleolus depends on clustered phenylalanines in the KS sequence.   Next, to show that KS can be tethered to key components of condensates to alter their material properties, we fused KS into numerous GFP-tagged condensate-forming proteins, ectopically expressed them in U2OS cells, and explored condensate dynamics using FRAP. These experiments confirmed that KS can solidify numerous nuclear condensates, including granular component of nucleolus and condensates formed fusion oncoproteins such as YAP-MAML2 and BRD4-NUT.  Finally, we developed GFP-nanobody based KS-recruitment setup that allows tethering of KS to endogenous cellular condensates. Using this system in knock-in cell lines, where endogenous loci have been tagged with GFP, we show that KS can selectively solidify distinct layers of nucleolus when recruited to condensates formed by GFP-TCOF1 or GFP-NPM1, and nuclear speckles formed by GFP-SRRM2.   Based on these findings, we propose that KS can be used as a universal tool to selectively modulate condensate material properties, and its usage can reveal new insight on functions of cellular condensates. ","Henri Niskanen, Yaotian Zhang, Ida Stöppelkamp, Denes Hnisz"
Hermann Bauer,poster,Sex Ratio Distortion in Mice,"In animal breeding one allele often is preferred over the other. However, heterozygous animals usually transmit both alleles to an equal proportion of their offspring. Our goal is to achieve predominant inheritance of desired genetic traits. The t-haplotype, a selfish mouse chromosome is able to promote its own transmission by disabling sperm not carrying it. Using its central component, the Sperm motility kinase in a transgenic approach, we are able to reduce the number of offspring carrying unwanted properties. Sex ratio distortion is a challenging but particularly interesting application of this principle: Making sperm carrying the preferred sex chromosome more successful in fertilization leads to an - often advantageous - prevalence of one sex in the next generation. In contrast to alternative genetic approaches towards this goal, the resulting animals having the desired trait are non-transgenic and our method preserves full fertility of the breeding stock. ","Hermann Bauer, Jürgen Willert, Bettina Lipkowitz, Gaby Bläss, Frederic Koch, Pedro Gamez Rodriguez and Bernhard G. Herrmann"
Ida Stöppelkamp,talk,Controlling the composition and function of biomolecular condensates using a micropeptide ‘killswitch’,"Intrinsically disordered regions play a crucial role in the emerging field of biomolecular condensates. Recent work from the Hnisz Lab (Mensah and Niskanen, 2023) has unveiled a connection between intrinsically disordered regions and disease-associated mutations. They discovered that a heterozygous de novo frameshift mutation in the HMGB1 gene leads to the rare brachyphalangy-polydactyly-tibial aplasia syndrome (BPTAS). This mutation replaced HMGB1's intrinsically disordered acidic tail with an arginine-rich basic tail, resulting in profound changes in its behavior. The mutant basic tail increased phase separation and mislocalized HMGB1 into the nucleolus, disrupting nucleolar dynamics and shedding light on the potential impacts of genetic alterations in condensate-forming proteins. A closer examination revealed that a mere 17-amino-acid hydrophobic sequence, now referred to as 'Killswitch,' was responsible for the observed cytotoxicity and gel-like behavior in overexpression systems. This hydrophobic micropeptide, 'Killswitch,' has become a valuable tool for studying the biophysical properties of condensates. With the aid of a GFP-nanobody system, a universal approach can be established to explore condensate-forming proteins tagged with GFP, building a platform for an in-depth analysis of their behaviors and their effects on biomolecular condensates at endogenous levels. The aim of this research is to comprehend the role of material state in the functionality of biomolecular condensates. By employing the 'Killswitch' and GFP-nanobody system, we anticipate the possibility of manipulating condensate behavior, offering the potential to control biomolecular condensates and influence cellular functions. ","Yaotian Zhang, Henri Niskanen, Ida Stöppelkamp, Denes Hnisz"
Ilona Dunkel,,,,
Ilona Witzke,,,,
Ingrid Pelaez Conde,,,,
Ingrid Stark,,,,
Irene Talon,talk,MODELLING HUMAN HEPATO-BILIARY ORGANOGENESIS  FROM PLURIPOTENT STEM CELLS,"During embryonic development, the liver, the pancreas and the extrahepatic biliary tree originate from the same region of the foregut endoderm. Although, studies in model organisms have provided insights into the early formation of these organs, the molecular mechanisms controlling the specification of their respective progenitors remain to be uncovered in human, due to the difficulty to obtain primary tissues at such early stages of development. To bypass this limitation, we have established a novel human pluripotent stem cell (hPSC)-derived foregut organoid system that recapitulates the formation of embryonic hepato-biliary-pancreatic organ buds. Our protocol allows the generation of self-organizing, three-dimensional human foregut organoids, containing progenitors for the liver (marked by AFP and ALB), the biliary three (KRT19 and SOX9) and the pancreas (PDX1). Importantly, the liver buds generated in vitro can further recapitulate liver organogenesis, by forming hepatoblast organoids (HBOs) which strongly resemble their in vivo counterparts. Accordingly, hPSC-derived HBOs can further differentiate into foetal hepatocytes or intrahepatic cholangiocytes, confirming their bipotentiality. Additionally, our foregut culture has the developmental potential to give rise to self-renewing biliary organoids, suggesting that our model system can also recapitulate, in part, the development of the biliary tree. We are now exploring the potential of our foregut organoids to generate pancreatic cells. Taken together, these results show that foregut progenitors can self-organize into organ buds and that this property can be further exploited to study early human organogenesis. This work will enhance our understanding on the mechanisms governing the cell fate choice during human hepato-biliary-pancreatic formation and will potentially serve as a new accessible platform for disease modeling and drug screening.","Irene Talon, Charlotte Grey-Wilson, Ludovic Vallier"
Isabelle Kraus,poster,Investigating the cell type-specific regulation of H3K27 methylation during early development,"Methylation of lysine 27 on histone H3 (H3K27me) is an epigenetic modification that regulates gene expression and is essential for embryonic development. The enzymatic catalysis of this modification is mediated by the Polycomb Repressive Complex 2 (PRC2) with counteracting demethylation facilitated by H3K27 demethylases. PRC2 forms distinct variants with different subunits responsible for recruitment, localisation and interaction with chromatin. Loss of these components can lead to developmental defects such as an increase in primordial germ cells following the knockout of the core component Eed. However, the precise role and regulation of H3K27me during embryonic development in cell types remains to be fully elucidated. Previous studies have shown that single-cell RNA sequencing (scRNA-seq) provides insights into cellular heterogeneity, allowing detailed analysis of complex cellular composition and gene expression dynamics at the level of individual cells. Using genetic perturbation of H3K27me regulators at the zygote stage we generated a selection of knockout mouse embryos and profiled them with scRNA-seq at embryonic day 8.5. We aim to uncover potentially cell type-specific effects of these regulators, which could include changes in cell type composition, expression patterns or developmental delay. Through our comprehensive analyses, we aim to gain deeper insights into the mechanisms of epigenetic regulation during embryonic development and shed light on how alterations in H3K27me and its regulators might affect specific cell types in the developing embryo.","Isabelle Kraus, Sara Hetzel, Alexander Meissner, Zachary D. Smith, Helene Kretzmer"
Jakob Hertzberg,poster,Accurate Identification of pathogenic Structural Variants guided by Multi-Platform Comparison,"Structural variants (SVs) are a common cause of human diseases and contribute largely to inter-individual variability. However, their detection remains a challenge, especially in the non-coding genome, due to low mappability and high repeat content. To investigate and potentially overcome these challenges, we analyzed a cohort of 13 individuals genotyped by combining an extensive selection of sequencing technologies, including short-read, long-read, and linked-read sequencing as well as optical mapping. This dataset in combination with the development of tools for scalable variant curation allowed us to create a comprehensive benchmark call-set. We utilzed this benchmark to evaluate how each technology and their corresponding SV callers perform across various settings. Guided by our technology comparison, we designed a machine learning method to identify true-positive variant calls using genomic annotations and alignment features. We demonstrate the method’s applicability in a clinical scenario on a limb malformation cohort. The results of this study inspired us to create a scalable version of the detection and interpretation pipeline adaptable to all monogenic diseases to assist in clinical diagnostics. This is now the main product of LUCID Genomics - a MPI-MG Spin-off. ","Nico Alavi, Hossein Moeinzadeh, Jakob Hertzberg, Uirá Souto Melo, Maryam Ghareghani, Anton Kriese, Julika Wenzel, Eldar Abdullaev, Robert Schöpflin, Lion Ward Al Raei, Daniel Koile, Golnaz Tabrizi,  Malte Spielmann, Stefan Mundlos and Martin Vingron"
Jakob Schweizer,poster,Scientific Coordination at MPI for Molecular Genetics,Later,Jakob Schweizer
Jan Berghöfer,poster,MEASURE: Multi-omics Evaluation of Animals for body Stature,"1 RG Veterinary Functional Genomics, Max Planck Institute for Molecular Genetics, Berlin, Germany 2 RG Veterinary Functional Genomics, Institute for Animal Breeding and Genetics, University of Veterinary Medicine Hanover, Hanover, Germany  3 Institute of Chemistry and Biochemistry, Department of Biology, Chemistry and Pharmacy, Freie Universität Berlin, Berlin, Germany 4 Microscopy & Cryo-Electron Microscopy Facility, Max Planck Institute for Molecular Genetics, Berlin 5 Flow Cytometry Facility, Max Planck Institute for Molecular Genetics, Berlin, Germany 6 RG Functional Histology and Cell Biology, Institute of Anatomy, University of Veterinary Medicine Hanover, Hanover, Germany 7 Clinic for Swine, Department for Clinical Veterinary Medicine, Vetsuisse Faculty, University of Bern, Bern, Switzerland 8 Institute for Parasitology, Centre for Infection Medicine, University of Veterinary Medicine Hanover, Hanover, Germany. 9 RG Development & Disease, Max Planck Institute of Molecular Genetics, Berlin & Charité Universitätsmedizin, Berlin, Germany 10 Department of Computational Molecular Biology, Max Planck Institute of Molecular Genetics, Berlin, Germany 11 RG Genomics and Bioinformatics of Infectious Diseases, Institute of Animal Breeding and Genetics, University of Veterinary Medicine Hanover, Hanover, Germany † These authors contributed equally   Body size is a trait of great biological and agricultural interest in mammals, fundamentally, determined by the growth of long bones. This process is intricately regulated at the growth plates (GP) and depends on the transformation of hyaline cartilage into bone during early development. In the MEASURE project, we are investigating this phenomenon in pigs, an interesting model due to targeted selective breeding for different body sizes. Our research uses a comprehensive multi-omics approach to unravel the genetic and epigenetic basis of body size variation. By analysing 80-day-old pigs, comparable to 4–5 years in humans, we are comparing miniature and large breeds to elucidate the dynamics of genetic variation and gene regulation associated with body size. We have identified distinct runs of homozygosity regions (ROHRs) in the pig genome that are indicative of footprints of artificial selection. Within these ROHRs, we detected key genetic variants associated with miniaturization. We identified enhancer and promoter elements using epigenomic (ATAC-Seq, ChIP-Seq) and chromatin organization (Hi-C) data from GPs to predict the impact of non-coding variants on target genes. This genomic analysis is further enriched by transcriptomic profiling to examine differential gene expression and splicing events to assess their functional effects.  Phenotypic observations at multiple levels, including gross anatomy, histology and in vitro cellular models, allow us to understand how these genetic variations manifest at different phenotypic levels. Our results to date show that approximately 300 ROHRs span the minipig genome, with less than 1% of size-associated variants located within these regions. We have identified about twenty candidate regulatory variants that may play a key role in the miniaturization of body size. These variants predominantly act as regulatory elements, influencing gene expression patterns that are critical for skeletal development.  In summary, the MEASURE project not only sheds light on the complex genetics of body size in pigs, but also provides broader insights into mammalian growth and development. By integrating genomic, epigenomic and transcriptomic data with their phenotypic expressions at the cellular and tissue level, we are advancing a comprehensive understanding of the molecular mechanisms that control skeletal growth. This research has wide-ranging implications, from agricultural interests to human health and developmental biology. ","Nadia Khaveh1,2†, Jan Berghöfer1,2,3†, René Buschow4, Claudia Giesecke-Thiel5, Ralph Brehm6, Alexander Grahofer7, Fanny Naccache8, Baiwei Lo9, Martin Vingron10, Klaus Jung11, Stefan Mundlos9, Julia Metzger1,2"
Jana Henck,talk,Position effects in the 3D genome as the cause of demyelinating leukodystrophy,"It is known that structural variants (SVs) can lead to repositioning of topologically associated domain (TAD) boundaries or relocation of regulatory elements, potentially resulting in gene missexpression and disease. These 3D position effects have been described for rare congenital skeletal phenotypes, but have yet to be studied in higher prevalence diseases such as neurodegenerative disorders. We chose to study autosomal dominant adult-onset demyelinating leukodystrophy (ADLD) as a model for neurodegenerative disorders. ADLD is generally known to be caused by duplications of the gene LMNB1, but recently we identified patients with deletions downstream of LMNB1 with a very similar phenotype, potentially caused by the disruption of a TAD boundary resulting in enhancer hijacking. We generated several mouse models of the different SVs found in patients and investigated 3D genome changes using capture HiC of the locus. We further looked into potential gene expression changes within several time points of early mouse development using single cell RNA-sequencing and analyzed adult mouse brains using MRI to understand the underlying cell and tissue changes and connect the mouse phenotype to the human disorder. Analyzing deletion mutant brains we observe increased contact from Lmnb1 to the neighboring TAD with distinct loops connecting Lmnb1 with brain specific regulatory elements, indicating enhancer hijacking as a disease mechanism. Already in embryonic mutant brains we detected cell type changes in neuronal progenitors and the glia trajectory, indicating that ADLD can be caused by misregulating Lmnb1 through ectopic contacts with regulatory elements. Further first results from MRI show distinct In summary, we show that deletions downstream of LMNB1 cause ADLD via enhancer hijacking. Our data further highlight that changes in the 3D organization can result in neurodegenerative disorders. ","J.Henck, V.Sreenivasan, S. Balachandran, P. Böhm-Sturm, S. Mueller,  J. Kim, M. Phan, K. Chudzig, L. Wittler,  E. Giorgio, M.Spielmann"
Jelena Ulicevic,poster,,,
Jessica Gibbons,poster,,,
Jonathan J. Froehlich,poster,Principles of transcription factor dose-responses in stem cells,"Cell identity and function are controlled by the dynamic expression of gene regulatory factors. This is particularly pronounced during developmental processes, where gene expression levels undergo significant changes. Measuring how transcription factor levels (“dose”) impact gene expression and cell function (“response”) is critical for understanding gene regulatory circuits. Here, we present our ongoing efforts to modulate expression of many genes individually, in high-throughput. Using multiplexed, tunable CRISPRi/a in mouse embryonic stem cells we combine our CasTuner platform with single-cell RNA sequencing. As a proof-of-concept we knock-down Oct4 to varying degrees and measure transcriptome changes. Our approach will allow us to investigate principles of transcription factor dose-responses across many genes in stem cells and during differentiation.  ","Jonathan J. Froehlich, Till Schwämmle, Gemma Noviello, Ilona Dunkel,  Edda G. Schulz"
Julia Batki,talk,p53-dependent elimination of extraembryonic cells from the developing gut,"As the mouse embryo develops, cells segregate into embryonic and extraembryonic compartments that substantially differ both in their transcriptome and epigenome. The exception to this is the developing gut, a mosaic tissue jointly formed by embryonic and extraembryonic endoderm cells, which become transcriptionally highly similar at the onset of organogenesis. Yet, it has remained unknown whether these extraembryonic gut cells undergo similar conversion in their epigenetic state and if they are able to differentiate into more specialized endodermal cell types which persist into later development. Here we developed a stable two-color lineage tracing system to reliably distinguish and characterize cells of embryonic and extraembryonic origins throughout development. We find, despite the overall broad transcriptional plasticity of extraembryonic gut cells, that clear transcriptional signatures are preserved, and the extraembryonic DNA methylation landscape is retained as epigenetic memory of the lineage origin. Importantly, by midgestation, extraembryonic gut cells undergo programmed cell death and neighboring embryonic gut cells clear their remnants via non-professional phagocytosis. The elimination process requires the tumor suppressor p53, as gut cells of extraembryonic origin survive and further differentiate in the absence of p53 both in vivo and in vitro. Our study elucidates a selective cell clearance mechanism during tissue morphogenesis and provides a novel role of p53 in organogenesis in a mammalian system.","Julia Batki*, Sara Hetzel*, Dennis Schifferl, Adriano Bolondi, Lars Wittler, Bernhard G. Herrmann, Alexander Meissner "
Julia Metzger,,,,
Julian Naderi,talk,Suboptimization of human transcription factors,"Specificity in transcriptional control is engendered by transcription factors (TFs) binding enhancer DNA elements. Weak, tissue-specific enhancers are suboptimal for TF binding, suggesting an evolutionary trade-off between transcriptional activity and specificity. Here we provide evidence that a similar trade-off is encoded in human transcription factors as submaximal spacing between aromatic residues in their intrinsically disordered regions. We identified ~500 human TFs that encode short periodic blocks of aromatic residues, resembling imperfect prion-like sequences, and show that periodic regions are distinct from previously annotated functional domains. Mutation of periodic aromatic residues inhibited, and increasing aromatic dispersion in the disordered regions of multiple TFs enhanced transcriptional activity. In three cellular reprogramming systems, optimizing aromatic dispersion enhanced reprogramming efficiencies of human TFs. Mechanistically, optimizing aromatic dispersion enhanced liquid-like features of phase-separated droplets, and led to more promiscuous DNA binding in cells. We propose that rational engineering of amino acid features that alter phase separation may be a strategy to facilitate TFmediated cellular reprogramming, and to enhance or reduce function of biomolecules.","Julian Naderi, Alexandre P. Magalhaes, Gözde Kibar, Gregoire Stik, Yaotian Zhang, Sebastian D. Mackowiak, Hannah M. Wieler, Francesca Rossi, Rene Buschow, Marie Christou-Kent, Marc Alcoverro-Bertran, Thomas Graf, Martin Vingron, Denes Hnisz"
Juliane Glaser,poster,Retroviral-like particles as a driver of developmental malformation ,"Mammalian genomes are scattered with endogenous retroviruses (ERVs) inherited from ancient retroviral infections. ERVs influence transcriptional regulation and their activation has been associated with cancer progression, neurological disorders, and aging. However, if and how ERVs are involved in the pathogenicity of congenital malformation remains largely unknown. Here, we show that a mouse limb malformation is caused by the replication of a single ERV element into retroviral-like particles in the embryonic limb. When epigenetically active, the ERV promoter can interfere with chromatin folding, but most strikingly it adopts the regulatory activity surrounding its insertion for its own transcription. Consequently, an insertion within the regulatory domain of the Fgf8 gene leads to the ERV element acquiring an Fgf8-like expression pattern in the developing limb and other tissues. While host gene regulation is not affected, the presence of retroviral-like particles in Fgf8-positive limb cells triggers apoptotic cell death at the time of digit outgrowth. This results in a limb malformation resembling human ectrodactyly which can be rescued by mutations preventing reverse transcription of the retroviral RNA. We further show that insertion of the same ERV element at another gene locus leads to a different tissue-specific developmental expression of retroviral genes. Our findings provide evidence that the production of toxic products at critical time points of embryogenesis can drive developmental malformation, expanding the means by which ERV can cause diseases. Such a mechanism of viral mimicry may explain the sporadic nature and unresolved genetics of many congenital disorders.","Juliane Glaser, Giulia Cova, Beatrix Fauler, Cesar A. Prada-Medina, Mai H.Q. Phan, Yasmin Aktas, Martin Franke, Guillaume Andrey, Christina Paliou, Wing-Lee Chan, Lars Wittler, Thorsten Mielke, Stefan Mundlos"
Karin Borst,poster,Investigations on the molecular mechanism of non-Mendelian inheritance in the house mouse,"Male mice heterozygous for a complete t-haplotype preferentially transmit the t-chromosome to their progeny, a phenomenon called transmission ratio distortion (TRD). The t-haplotype is a variant form of mouse chromosome 17. Interactions of various t-haplotype factors affect sperm motility during spermatogenesis and lead to the selective advantage of t-sperm resulting in high transmission rates. Several distorter genes act additively in trans on all cells and impair sperm flagellar function. Only t-sperm carrying the t-haplotype responder gene SmokTcr regain a normal motility to reach the site of fertilization. The Smok gene family are thought to be components of a signal cascade that regulates sperm flagellar movement by reversible protein phosphorylation. The target protein of SMOK within the axoneme is currently unknown. In vitro studies indicate that the murine gene Dnali1 – encoding a dynein axonemal light intermediate chain 1 (DNALI1) protein – forms a putative SMOK interacting polypeptide. In this study we would like to analyze the function of Dnali1 within the TRD signaling pathway that leads to the production of two sperm populations that show differences in their motility. Dnali1 is predominantly expressed within the axoneme of spermatids and in tissues that exhibit cilia supporting its function as component of the axonemal dynein – a motor protein complex that generates the force for the movement of cilia and flagella. The putative protein-protein interaction of SMOK and DNALI1 within the axoneme of spermatids will be analyzed by the bimolecular fluorescence complementation (BiFC) method. Both proteins are fused to complementary fragments of the fluorescent Venus protein (yellow fluorescent protein, YFP). The interaction of the proteins will be detected by the reformation of the fluorescent reporter protein in spermatids of transgenic animals. Immunofluorescent co-localization analyses should support the assumed interaction of these proteins within the axoneme. Additional efforts will be made to generate a testis specific Dnali1-knockout mouse line by using the Cre-loxP and CRISPR/Cas9 system. Tissue specific expression of the iCre recombinase will be controlled by the germ cell-specific Stra8 (stimulated by retinoic acid gene 8) promoter. The disruption of the axonemal dynein component in testes should shed light on the biological function of Dnali1 on sperm flagellar movement and fertility.  ","Karin Borst, Hermann Bauer, Sabrina Schindler and Bernhard G. Herrmann"
Karin Moelling note ma e mail moelling@molgen.mpg.de,,,,
Katrina Meyer,poster,Condensation of ribosomal proteins in ribosome biogenesis,"Ribosomes are essential megadalton cellular machines. The human ribosome contains eighty proteins and four rRNAs that together convert the genetic information encoded in mRNAs into proteins. Ribosome synthesis is initiated in the nucleolus. The nucleolus is a specialized, membrane-less compartment inside the nucleus known to form via phase separation. Strikingly, while ribosomal proteins (RPs) are highly abundant in the nucleolus, it is not known if ribosomal proteins also undergo phase separation during ribosome assembly. For establishing our tools we are focusing on the RP eL14, while in the future we aim to study the ensemble of RPs. We employ bioinformatics, in vivo and in vitro approaches to shed light on the role of phase separation in ribosome assembly.","Katrina Meyer, Dmitrii Zagrebin, Matthew King, Kiersten Ruff, Guillermo Perez-Hernandez, Rithika Sankar, Rohit Pappu, Susanne Wegmann, Rainer Nikolay, Matthew Kraushar"
Kevin Zidane,,,,
Konrad Chudzik,talk,Regulatory Domains Reconfigure Heterochromatin at Key Cell-Fate Decisions During Embryogenesis,"Gene transcription is precisely activated in time and space by enhancers operating within topologically-associated domains (TADs). Yet, in most cell-types, TAD regulatory domains adopt inactive heterochromatin states and it remains unknown how and when these must be reconfigured to enable gene activation. Here, we address this by mapping how a prevalent heterochromatic feature - the genome’s attachment to the nuclear lamina - changes with transcription in single-cells during mouse embryogenesis. We demonstrate that lamina-DNA interactions are extensively reconfigured not in gastrulation but instead during organogenesis. At critical tissue cell-fate transitions, we find lamina interactions are often released at both developmental genes and their entire surrounding TAD and enhancer landscapes. What’s more, this lamina-release in progenitor cell-types significantly precedes later gene activation and coincides with regulatory element accessibility, thereby suggesting reconfiguration is a licensing step. Finally, we demonstrate that TADs themselves constrain the extent of lamina-release as it spreads into neighbouring domains when TAD boundaries are removed. Collectively, this suggests that reconfiguring lamina-associated heterochromatin is a fundamental missing step in the function of regulatory domains during cell-fate specification.","Konrad Chudzik, Isabel Guerreiro, Samy Kefalopoulou, Magdalena Schindler, Stefan Mundlos, Jop Kind, Michael Robson"
Kristina Thedinga,talk,Machine Learning for Cancer Survival Prediction,"Predicting cancer survival from molecular features is an important computational task that allows quantifying patient risks and individualizing therapy. Our approach applies XGBoost tree ensemble learning to predict cancer survival for 25 different cancer types from The Cancer Genome Atlas (TCGA) and shows highly competitive performance with existing methods. Additionally, we show that pan-cancer training can improve predictions compared to cancer subtype-specific training. To further demonstrate the plausibility of our results, we apply network propagation on the feature importance weights learned by the pan-cancer survival prediction model and infer a pan-cancer survival network consisting of 103 genes. The survival network comprises cross-cohort features and over-representation analysis shows that it is significantly enriched for the tumor microenvironment, which has been associated with tumor initiation, growth, invasion, metastasis, and response to therapies, underpinning the biological plausibility of the pan-cancer survival network.",Kristina Thedinga & Ralf Herwig
Lars Wittler,,,,
